id,name,party,sector,type
Uschi,Ursula von der Leyen,CDU,Politik,1
LarsK,Lars Klingbeil,SPD,Politik,1
NorbertR,Norbert Röttgen,CDU,Politik,1
SarahW,Sarah Wagenknecht,LINKE,Politik,1
ConstanzeS,Dr. Constanze Stelzenmüller,-,Journalismus,1
CL,Christian Lindner,FDP,Politik,1
KarlS,Karl Schlögel,-,Experte,1
LjudmylaM,Ljudmyla Melnyk,-,Wissenschaft,2
KristinaD,Kristina Dunz,-,Journalismus,2
EgilsL,Egils Levits,-,Politik,1
AnnalenaB,Annalena Baerbock,GREEN,Politik,1
FransT,Frans Timmermans,-,Politik,2
AndrijM,Andrij Melnyk,-,Politik,1
AlexanderG,Alexander Graf Lambsdorff,FDP,Politik,1
EgonR,Egon Ramms,-,Military,2
RobertH,Robert Habeck,GREEN,Politik,1
ClaudiaM,Claudia Major,-,Wissenschaft,1
KatjaP,Katja Petrowskaja,-,Journalismus,1
RoderichK,Roderich Kiesewetter,CDU,Politik,1
ChristineL,Christine Lambrecht,SPD,Politik,1
AlexanderG,Alexander Graf Lambsdorff,FDP,Politik,1
StefanieB,Stefanie Babst,-,Politik,1
ChristophH,Christoph Heusgen,-,Politik,2
MarinaW,Marina Weisband,-,Journalismus,1